Num,default,Total_assets,Total_income,PAT_as_%_of_total_income,PBDITA_as_%_of_total_income,PBT_as_%_of_total_income,Cash_profit_as_%_of_total_income,Current_ratio,Debt_to_equity_ratio
1,1,210.5,125.3,-25.05985634,-10.45490822,-25.05985634,-19.792498,0.86,2.99
2,1,674.4,939.6,-5.487015751,-0.723712218,-5.487015751,-4.25244785,0.87,48.74
3,1,288.3,1.2,-2233.333333,-1785.083333,-2175,-2100,1.4,0.28
4,1,32.2,30.3,-15.51155116,-6.930693069,-15.18151815,-12.54125413,0.44,24.5
5,1,380.9,24.6,-208.9430894,-1.62601626,-208.5365854,-142.2764228,1.17,10.37
6,1,3.5,0.1,0,0,0,0,2.89,0
7,1,192.2,1021.5,0.283896231,2.094958395,0.46989721,0.978952521,1.11,2.23
8,1,212.6,98.2,-29.42973523,4.480651731,-29.42973523,-11.91446029,1.2,5.32
9,1,295.6,111.9,-46.07327971,-12.15370867,-36.99731903,-29.66934763,0.92,3.59
10,1,436.1,100.8,-51.1468254,7.043650794,-51.1468254,-20.53571429,0.26,13.47
11,1,488,253.6,-20.329653,-8.446766562,-20.329653,-15.7555205,0.45,3.37
12,1,159.2,273.4,-9.50987564,3.91367959,-9.436722751,-11.48500366,0.47,5.89
13,1,149.3,66.3,-58.22021116,-32.3092006,-58.0693816,-49.77375566,0.69,1.1
14,1,212.1,54.3,-28.72928177,4.788213628,-28.72928177,-22.6519337,0.25,10.04
15,1,63.6,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.26,1.17
16,1,176.9,768.5,-0.377358491,2.199089135,-0.377358491,0.377358491,1.83,90.65
17,1,45,428.1425806,-0.467134102,-0.303637166,-0.467134102,-0.350350577,0.4,1.33
18,1,1406.5,1118.3,-4.610211929,5.132790843,-4.610211929,-3.572923187,0.77,8.34
19,1,115.6,553.8,-0.072228241,1.408450704,-0.090285302,0.505597689,1.06,1.26
20,1,33,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.22,90.9441
21,1,171,223.7,-8.001788109,5.14081359,-8.001788109,1.43048726,0.68,7.78
22,1,128.1,196.6,-19.88809766,-5.595116989,-21.36317396,-12.56358087,1.22,8.34
23,1,88.1,317.1,57.27373068,99.77924945,76.28476821,-0.283822138,0.12,0.7
24,1,27.8,44.8,2.232142857,7.589285714,4.241071429,6.026785714,0.82,0
25,1,822.9,523.9,-1.126169116,10.34548578,-3.283069288,2.156900172,1.13,12.71
26,1,718.2,689.8,0.956799072,10.40881415,0.956799072,-0.884314294,0.85,5.64
27,1,139.1,428.1425806,-4.974978188,-4.951621483,-4.974978188,-4.974978188,0,5.73
28,1,95.6,73.4,-37.8746594,-29.18392371,-37.73841962,-37.8746594,2.05,3.8
29,1,176.7,416.5,-3.793517407,1.296518607,-3.985594238,-1.800720288,1.08,9.29
30,1,424.7,51.5,-100.1087379,-41.59417476,-100.1087379,-77.58446602,0.49,3.86
31,1,68.8,28.6,-180.2657343,-74.8986014,-180.2657343,-139.7062937,0.77,0
32,1,1.5,6.6,3.03030303,6.060606061,3.03030303,6.060606061,3.25,0
33,1,394.3,868.3,-2.69492111,-2.257284349,-4.364850858,-3.351376252,0.76,3.13
34,1,0.5,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,1.98289977,0
35,1,28.4,428.1425806,4.075182884,10.82695713,5.345512004,6.685330948,0.43,1.06
36,1,50.2,32.6,-36.80981595,-30.06134969,-36.50306748,-31.59509202,1.53,2.59
37,1,387.4,300.8,-14.69414894,0.897606383,-14.69414894,-4.820478723,0.26,7.86
38,1,108.5,44.1,-20.40816327,-12.6984127,-20.40816327,-18.59410431,1,19.62
