Date,Bharti Airtel,DLF,ACC,BHEL,TCS,Maruti Suzuki,Reliance,Dr. Reddy,ITC,TATA Steel,Sensex
04/04/16,299,114,1320,74,1086,3269,507,2907,188,282,24673.83984
11/04/16,314,117,1345,80,1128,3555,521,2965,194,291,25626.75
18/04/16,315,118,1294,77,1079,3636,508,3005,191,310,25838.14063
25/04/16,325,125,1321,75,1132,3615,480,2954,190,307,25606.61914
02/05/16,321,121,1305,76,1104,3639,474,2742,186,288,25228.5
09/05/16,317,118,1334,74,1127,3665,478,2790,187,282,25489.57031
16/05/16,305,118,1275,72,1129,3759,457,2902,193,282,25301.90039
23/05/16,314,124,1394,77,1149,3951,476,2980,210,289,26653.59961
30/05/16,320,127,1409,71,1174,4019,469,3023,207,296,26843.0293
06/06/16,313,129,1424,74,1141,3917,477,2932,211,293,26635.75
13/06/16,319,130,1424,74,1186,3920,477,2872,216,285,26625.91016
20/06/16,318,129,1435,71,1173,3878,465,3016,213,274,26397.71094
27/06/16,329,146,1480,79,1140,3969,476,3332,228,287,27144.91016
04/07/16,317,149,1462,83,1106,3965,478,3406,222,279,27126.90039
11/07/16,338,151,1476,86,1115,4261,495,3432,224,326,27836.5
18/07/16,328,153,1539,85,1147,4206,496,3462,225,320,27803.24023
25/07/16,323,156,1546,88,1194,4533,496,2839,228,311,28051.85938
01/08/16,325,159,1575,83,1214,4708,497,2910,228,342,28078.34961
08/08/16,310,157,1522,83,1255,4667,506,2912,229,336,28152.40039
15/08/16,315,162,1558,85,1193,4669,496,2912,226,351,28077
22/08/16,308,154,1509,84,1157,4688,502,2941,229,331,27782.25
29/08/16,286,145,1538,82,1152,4917,495,3021,237,335,28532.10938
05/09/16,289,152,1523,93,1078,5184,511,3089,233,354,28797.25
12/09/16,290,141,1498,88,1082,5347,526,3047,235,322,28599.0293
19/09/16,293,150,1490,89,1099,5374,539,3078,229,333,28668.2207
26/09/16,282,141,1474,82,1114,5255,530,3006,218,335,27865.96094
03/10/16,286,150,1497,82,1085,5453,542,2954,216,364,28061.14063
10/10/16,274,145,1511,81,1084,5459,527,2932,216,370,27673.59961
17/10/16,278,151,1443,86,1113,5421,520,3012,217,383,28077.17969
24/10/16,286,145,1397,84,1099,5638,516,3253,219,363,27941.50977
31/10/16,275,134,1373,82,1074,5473,492,2979,225,361,27274.15039
07/11/16,270,112,1290,83,968,4926,490,3150,219,382,26818.82031
14/11/16,272,112,1207,81,979,4750,483,3109,206,345,26150.24023
21/11/16,270,108,1206,77,1060,4676,486,3065,206,366,26316.33984
28/11/16,286,106,1221,77,1024,4862,486,3076,206,364,26230.66016
05/12/16,298,111,1271,78,1011,5022,503,3082,213,386,26747.17969
12/12/16,278,108,1192,74,1052,4978,517,3006,204,371,26489.56055
19/12/16,265,110,1194,72,1054,4986,517,2900,203,350,26040.69922
26/12/16,274,107,1226,73,1090,5104,529,2960,218,351,26626.46094
02/01/17,287,122,1229,77,1051,5388,525,3056,219,376,26759.23047
09/01/17,287,120,1225,78,1036,5468,533,2882,225,400,27238.06055
16/01/17,287,124,1222,78,1053,5439,501,2851,230,407,27034.5
23/01/17,290,131,1318,85,1086,5676,501,2896,232,421,27882.46094
30/01/17,317,138,1312,86,1034,5867,505,3041,246,424,28240.51953
06/02/17,321,143,1370,96,1111,5864,504,2879,247,420,28334.25
13/02/17,331,137,1350,93,1116,5747,526,2817,242,420,28468.75
20/02/17,328,144,1325,94,1150,5786,578,2793,240,435,28892.9707
27/02/17,319,139,1284,97,1156,5649,615,2777,236,444,28832.44922
06/03/17,327,137,1290,97,1178,5714,627,2627,238,419,28946.23047
13/03/17,311,142,1300,103,1170,5941,636,2647,254,450,29648.99023
20/03/17,305,143,1297,102,1125,5761,629,2542,253,442,29421.40039
27/03/17,314,143,1344,99,1127,5771,646,2546,253,433,29620.5
03/04/17,309,149,1364,107,1125,6005,688,2574,246,442,29706.60938
10/04/17,305,154,1388,106,1079,5831,667,2554,252,415,29461.44922
17/04/17,307,177,1389,107,1071,5935,686,2524,247,404,29365.30078
24/04/17,319,179,1511,107,1053,6260,682,2514,251,403,29918.40039
01/05/17,309,179,1542,106,1075,6384,649,2518,250,389,29858.80078
08/05/17,327,201,1561,104,1094,6457,660,2496,248,391,30188.15039
15/05/17,334,200,1557,100,1162,6515,645,2569,258,439,30464.91992
22/05/17,335,187,1517,97,1195,6778,654,2335,279,459,31028.21094
29/05/17,335,169,1527,86,1188,6826,648,2471,288,441,31273.28906
05/06/17,330,178,1504,85,1162,7162,653,2543,276,454,31262.06055
12/06/17,327,187,1522,84,1112,6969,679,2595,281,450,31056.40039
19/06/17,328,185,1521,82,1106,6926,702,2557,285,455,31138.21094
26/06/17,340,184,1457,83,1107,6925,675,2602,296,489,30921.60938
03/07/17,346,195,1495,82,1093,7131,729,2617,306,496,31360.63086
10/07/17,365,194,1631,86,1123,7250,750,2614,309,500,32020.75
17/07/17,370,189,1587,89,1167,7237,780,2672,265,496,32028.89063
24/07/17,371,184,1608,88,1164,7321,785,2402,267,503,32309.88086
31/07/17,378,183,1696,84,1185,7455,799,2182,257,525,32325.41016
07/08/17,373,150,1646,76,1173,7155,761,1960,249,544,31213.58984
14/08/17,378,177,1678,79,1181,7290,776,1931,258,571,31524.67969
21/08/17,389,180,1666,78,1173,7304,772,2035,258,583,31596.06055
28/08/17,380,185,1700,80,1154,7570,793,2161,260,594,31892.23047
04/09/17,363,185,1675,78,1161,7724,804,2107,249,598,31687.51953
11/09/17,356,185,1702,81,1177,7849,829,2155,247,619,32272.60938
